millis,stamp,datetime,moisture
1000, 1534067094, 2018/8/12 9:44:54, 499
2999, 1534067096, 2018/8/12 9:44:56, 499
4999, 1534067098, 2018/8/12 9:44:58, 500
6999, 1534067100, 2018/8/12 9:45:0, 498
8999, 1534067102, 2018/8/12 9:45:2, 497
10999, 1534067104, 2018/8/12 9:45:4, 496
12999, 1534067106, 2018/8/12 9:45:6, 497
14999, 1534067108, 2018/8/12 9:45:8, 493
16999, 1534067110, 2018/8/12 9:45:10, 497
19000, 1534067112, 2018/8/12 9:45:12, 498
20999, 1534067114, 2018/8/12 9:45:14, 496
22999, 1534067116, 2018/8/12 9:45:16, 493
24998, 1534067118, 2018/8/12 9:45:18, 494
26999, 1534067120, 2018/8/12 9:45:20, 496
28999, 1534067122, 2018/8/12 9:45:22, 496
30999, 1534067124, 2018/8/12 9:45:24, 496
32999, 1534067126, 2018/8/12 9:45:26, 496
34999, 1534067128, 2018/8/12 9:45:28, 494
36999, 1534067130, 2018/8/12 9:45:30, 493
38999, 1534067132, 2018/8/12 9:45:32, 494
40999, 1534067134, 2018/8/12 9:45:34, 496
42999, 1534067136, 2018/8/12 9:45:36, 495
44999, 1534067138, 2018/8/12 9:45:38, 494
46999, 1534067140, 2018/8/12 9:45:40, 495
48999, 1534067142, 2018/8/12 9:45:42, 492
50999, 1534067144, 2018/8/12 9:45:44, 493
52999, 1534067146, 2018/8/12 9:45:46, 494
54999, 1534067148, 2018/8/12 9:45:48, 493
56999, 1534067150, 2018/8/12 9:45:50, 493
58999, 1534067152, 2018/8/12 9:45:52, 493
60999, 1534067154, 2018/8/12 9:45:54, 492
62999, 1534067156, 2018/8/12 9:45:56, 494
64999, 1534067158, 2018/8/12 9:45:58, 495
66999, 1534067160, 2018/8/12 9:46:0, 493
68999, 1534067163, 2018/8/12 9:46:3, 494
70999, 1534067165, 2018/8/12 9:46:5, 493
72999, 1534067167, 2018/8/12 9:46:7, 493
74999, 1534067169, 2018/8/12 9:46:9, 492
76999, 1534067171, 2018/8/12 9:46:11, 493
78999, 1534067173, 2018/8/12 9:46:13, 490
80999, 1534067175, 2018/8/12 9:46:15, 494
82999, 1534067177, 2018/8/12 9:46:17, 494
84999, 1534067179, 2018/8/12 9:46:19, 492
86999, 1534067181, 2018/8/12 9:46:21, 493
88999, 1534067183, 2018/8/12 9:46:23, 494
90999, 1534067185, 2018/8/12 9:46:25, 491
92999, 1534067187, 2018/8/12 9:46:27, 492
94999, 1534067189, 2018/8/12 9:46:29, 491
96999, 1534067191, 2018/8/12 9:46:31, 491
98999, 1534067193, 2018/8/12 9:46:33, 490
100999, 1534067195, 2018/8/12 9:46:35, 491
102999, 1534067197, 2018/8/12 9:46:37, 493
104999, 1534067199, 2018/8/12 9:46:39, 493
106999, 1534067201, 2018/8/12 9:46:41, 493
108999, 1534067203, 2018/8/12 9:46:43, 492
110999, 1534067205, 2018/8/12 9:46:45, 492
112999, 1534067207, 2018/8/12 9:46:47, 492
114999, 1534067209, 2018/8/12 9:46:49, 491
116999, 1534067211, 2018/8/12 9:46:51, 492
118999, 1534067213, 2018/8/12 9:46:53, 492
120999, 1534067215, 2018/8/12 9:46:55, 490
122999, 1534067217, 2018/8/12 9:46:57, 492
124999, 1534067219, 2018/8/12 9:46:59, 491
126999, 1534067221, 2018/8/12 9:47:1, 491
128999, 1534067223, 2018/8/12 9:47:3, 491
130999, 1534067225, 2018/8/12 9:47:5, 492
132999, 1534067227, 2018/8/12 9:47:7, 492
134999, 1534067229, 2018/8/12 9:47:9, 491
136999, 1534067231, 2018/8/12 9:47:11, 493
138999, 1534067233, 2018/8/12 9:47:13, 492
140999, 1534067235, 2018/8/12 9:47:15, 492
142999, 1534067237, 2018/8/12 9:47:17, 493
145000, 1534067239, 2018/8/12 9:47:19, 491
146999, 1534067241, 2018/8/12 9:47:21, 492
148999, 1534067243, 2018/8/12 9:47:23, 491
150999, 1534067245, 2018/8/12 9:47:25, 492
152999, 1534067247, 2018/8/12 9:47:27, 493
154999, 1534067249, 2018/8/12 9:47:29, 492
156999, 1534067251, 2018/8/12 9:47:31, 494
158999, 1534067253, 2018/8/12 9:47:33, 491
160999, 1534067255, 2018/8/12 9:47:35, 489
162999, 1534067257, 2018/8/12 9:47:37, 491
164999, 1534067259, 2018/8/12 9:47:39, 492
166999, 1534067261, 2018/8/12 9:47:41, 490
168999, 1534067263, 2018/8/12 9:47:43, 491
170999, 1534067265, 2018/8/12 9:47:45, 491
172999, 1534067267, 2018/8/12 9:47:47, 490
174999, 1534067269, 2018/8/12 9:47:49, 492
176999, 1534067271, 2018/8/12 9:47:51, 492
178999, 1534067273, 2018/8/12 9:47:53, 492
